,DAY_TYPE,TIME_PER_HOUR,ORIGIN_PT_CODE,DESTINATION_PT_CODE,CUMSUM
115315,WEEKDAY,10,CC12,BP6/DT1,0.004
115316,WEEKDAY,10,CC12,CC10/DT26,0.011
115317,WEEKDAY,10,CC12,CC11,0.04
115318,WEEKDAY,10,CC12,CC14,0.052000000000000005
115319,WEEKDAY,10,CC12,CC16,0.06
115320,WEEKDAY,10,CC12,CC17/TE9,0.063
115321,WEEKDAY,10,CC12,CC19/DT9,0.079
115322,WEEKDAY,10,CC12,CC2,0.087
115323,WEEKDAY,10,CC12,CC20,0.089
115324,WEEKDAY,10,CC12,CC21,0.1
115325,WEEKDAY,10,CC12,CC23,0.119
115326,WEEKDAY,10,CC12,CC24,0.166
115327,WEEKDAY,10,CC12,CC25,0.167
115328,WEEKDAY,10,CC12,CC26,0.169
115329,WEEKDAY,10,CC12,CC27,0.17200000000000001
115330,WEEKDAY,10,CC12,CC28,0.17300000000000001
115331,WEEKDAY,10,CC12,CC3,0.188
115332,WEEKDAY,10,CC12,CC4/DT15,0.203
115333,WEEKDAY,10,CC12,CC5,0.209
115334,WEEKDAY,10,CC12,CC6,0.212
115335,WEEKDAY,10,CC12,CC7,0.216
115336,WEEKDAY,10,CC12,CC8,0.222
115337,WEEKDAY,10,CC12,CE1/DT16,0.23399999999999999
115338,WEEKDAY,10,CC12,CG1/DT35,0.243
115339,WEEKDAY,10,CC12,CG2,0.25
115340,WEEKDAY,10,CC12,DT13,0.257
115341,WEEKDAY,10,CC12,DT17,0.268
115342,WEEKDAY,10,CC12,DT18,0.27
115343,WEEKDAY,10,CC12,DT2,0.27
115344,WEEKDAY,10,CC12,DT20,0.271
115345,WEEKDAY,10,CC12,DT21,0.278
115346,WEEKDAY,10,CC12,DT22,0.28
115347,WEEKDAY,10,CC12,DT23,0.285
115348,WEEKDAY,10,CC12,DT24,0.287
115349,WEEKDAY,10,CC12,DT25,0.289
115350,WEEKDAY,10,CC12,DT27,0.295
115351,WEEKDAY,10,CC12,DT28,0.298
115352,WEEKDAY,10,CC12,DT29,0.298
115353,WEEKDAY,10,CC12,DT3,0.299
115354,WEEKDAY,10,CC12,DT30,0.3
115355,WEEKDAY,10,CC12,DT31,0.301
115356,WEEKDAY,10,CC12,DT33,0.304
115357,WEEKDAY,10,CC12,DT34,0.309
115358,WEEKDAY,10,CC12,DT5,0.311
115359,WEEKDAY,10,CC12,DT6,0.313
115360,WEEKDAY,10,CC12,DT8,0.314
115361,WEEKDAY,10,CC12,EW1,0.317
115362,WEEKDAY,10,CC12,EW10,0.318
115363,WEEKDAY,10,CC12,EW11,0.32
115364,WEEKDAY,10,CC12,EW12/DT14,0.335
115365,WEEKDAY,10,CC12,EW14/NS26,0.356
115366,WEEKDAY,10,CC12,EW15,0.365
115367,WEEKDAY,10,CC12,EW16/NE3/TE17,0.369
115368,WEEKDAY,10,CC12,EW17,0.37
115369,WEEKDAY,10,CC12,EW18,0.371
115370,WEEKDAY,10,CC12,EW19,0.371
115371,WEEKDAY,10,CC12,EW2/DT32,0.382
115372,WEEKDAY,10,CC12,EW20,0.384
115373,WEEKDAY,10,CC12,EW21/CC22,0.406
115374,WEEKDAY,10,CC12,EW22,0.425
115375,WEEKDAY,10,CC12,EW23,0.436
115376,WEEKDAY,10,CC12,EW24/NS1,0.441
115377,WEEKDAY,10,CC12,EW25,0.441
115378,WEEKDAY,10,CC12,EW26,0.442
115379,WEEKDAY,10,CC12,EW27,0.448
115380,WEEKDAY,10,CC12,EW28,0.452
115381,WEEKDAY,10,CC12,EW3,0.454
115382,WEEKDAY,10,CC12,EW4,0.456
115383,WEEKDAY,10,CC12,EW5,0.46799999999999997
115384,WEEKDAY,10,CC12,EW6,0.469
115385,WEEKDAY,10,CC12,EW7,0.47
115386,WEEKDAY,10,CC12,EW8/CC9,0.523
115387,WEEKDAY,10,CC12,EW9,0.528
115388,WEEKDAY,10,CC12,NE1/CC29,0.542
115389,WEEKDAY,10,CC12,NE10,0.544
115390,WEEKDAY,10,CC12,NE12/CC13,0.6890000000000001
115391,WEEKDAY,10,CC12,NE13,0.699
115392,WEEKDAY,10,CC12,NE14,0.705
115393,WEEKDAY,10,CC12,NE15,0.707
115394,WEEKDAY,10,CC12,NE16/STC,0.717
115395,WEEKDAY,10,CC12,NE17/PTC,0.723
115396,WEEKDAY,10,CC12,NE4/DT19,0.742
115397,WEEKDAY,10,CC12,NE5,0.746
115398,WEEKDAY,10,CC12,NE7/DT12,0.753
115399,WEEKDAY,10,CC12,NE8,0.758
115400,WEEKDAY,10,CC12,NE9,0.764
115401,WEEKDAY,10,CC12,NS10,0.764
115402,WEEKDAY,10,CC12,NS11,0.767
115403,WEEKDAY,10,CC12,NS12,0.768
115404,WEEKDAY,10,CC12,NS13,0.775
115405,WEEKDAY,10,CC12,NS14,0.778
115406,WEEKDAY,10,CC12,NS15,0.791
115407,WEEKDAY,10,CC12,NS16,0.802
115408,WEEKDAY,10,CC12,NS17/CC15,0.851
115409,WEEKDAY,10,CC12,NS18,0.852
115410,WEEKDAY,10,CC12,NS19,0.856
115411,WEEKDAY,10,CC12,NS2,0.857
115412,WEEKDAY,10,CC12,NS20,0.872
115413,WEEKDAY,10,CC12,NS21/DT11,0.876
115414,WEEKDAY,10,CC12,NS23,0.89
115415,WEEKDAY,10,CC12,NS24/NE6/CC1,0.9
115416,WEEKDAY,10,CC12,NS25/EW13,0.908
115417,WEEKDAY,10,CC12,NS27/CE2/TE20,0.912
115418,WEEKDAY,10,CC12,NS28,0.912
115419,WEEKDAY,10,CC12,NS3,0.913
115420,WEEKDAY,10,CC12,NS4/BP1,0.914
115421,WEEKDAY,10,CC12,NS5,0.916
115422,WEEKDAY,10,CC12,NS7,0.919
115423,WEEKDAY,10,CC12,NS8,0.921
115424,WEEKDAY,10,CC12,NS9/TE2,0.929
115425,WEEKDAY,10,CC12,PE2,0.93
115426,WEEKDAY,10,CC12,PW3,0.93
115427,WEEKDAY,10,CC12,PW4,0.93
115428,WEEKDAY,10,CC12,PW5,0.93
115429,WEEKDAY,10,CC12,SE5,0.931
115430,WEEKDAY,10,CC12,SW2,0.931
115431,WEEKDAY,10,CC12,SW5,0.932
115432,WEEKDAY,10,CC12,TE1,0.937
115433,WEEKDAY,10,CC12,TE12,0.94
115434,WEEKDAY,10,CC12,TE13,0.941
115435,WEEKDAY,10,CC12,TE14/NS22,0.974
115436,WEEKDAY,10,CC12,TE15,0.977
115437,WEEKDAY,10,CC12,TE16,0.979
115438,WEEKDAY,10,CC12,TE19,0.983
115439,WEEKDAY,10,CC12,TE22,0.984
115440,WEEKDAY,10,CC12,TE3,0.984
115441,WEEKDAY,10,CC12,TE4,0.984
115442,WEEKDAY,10,CC12,TE6,0.985
115443,WEEKDAY,10,CC12,TE7,0.985
115444,WEEKDAY,10,CC12,TE8,0.99
